restaurant_name,borough,street,longitude,latitude
TASTE OF CHINA,Queens,67-08 FRESH POND ROAD,-73.896479,40.705552
CINCO NACIONES RESTAURANT,Bronx,806 WESTCHESTER AVENUE,-73.903225,40.818836
KX BURGER &amp; BEYOND INC,Queens,2904 DITMARS BLVD,-73.911551,40.77672
BZ GRILL,Queens,27-02 ASTORIA BOULEVARD,-73.920924,40.77082
SKINNY'S CANTINA,Queens,4705 CENTER BOULEVARD,-73.956823,40.745961
CASA AZUL,Brooklyn,369 7 AVENUE,-73.982647,40.665598
IL CAFFE LATTE 2,Manhattan,458 WEST  145 STREET,-73.946756,40.824867
BG RESTAURANT,Manhattan,754 5 AVENUE,-73.973615,40.763469
AMPLE HILLS CREAMERY,Brooklyn,305 NEVINS STREET,-73.987446,40.679004
Treadwell Park,Manhattan,First Avenue,-73.960791,40.761247
ZEST RAMEN,Manhattan,112 ELDRIDGE STREET,-73.991973,40.718117
YOON HAEUNDAE GALBI,Manhattan,8 WEST   36 STREET,-73.984069,40.749903
GULSHAN TERRACE,Queens,5915 37 AVENUE,-73.903224,40.749883
BABAGHANOJ SPOT,Brooklyn,339 7 STREET,-73.984795,40.670152
KITH RETAIL,Manhattan,337 LAFAYETTE STREET,-73.994603,40.725978
ISLAND FUSION,Queens,13920 243RD ST,-73.735753,40.665101
ISLAND FUSION,Queens,13920 243RD ST,-73.735753,40.665101
HARLEM NIGHTS,Manhattan,2361 7 AVENUE,-73.942257,40.817268
ST BESS RESTAURANT,Bronx,4466 BAYCHESTER AVENUE,-73.846894,40.901418
BKLYN CREPE,Brooklyn,214 FLATBUSH AVENUE,-73.975378,40.681179
jaya 888,Manhattan,baxter street,-73.999755,40.71685
One for the road,Queens,150 Street,-73.814117,40.763034
SPACE BILLARD,Manhattan,34 WEST   32 STREET,-73.987101,40.747826
PASTA LOUISE,Brooklyn,803 8 AVENUE,-73.97879,40.666256
THE DECO FOOD + DRINK,Manhattan,231 WEST   39 STREET,-73.989363,40.754576
JIMMY'S,Manhattan,158 WEST   38 STREET,-73.987981,40.753167
DOC WATSONS,Manhattan,1490 2 AVENUE,-73.955708,40.772422
DORLAN'S,Manhattan,213 FRONT STREET,-74.002521,40.70732
AMPLE HILLS CREAMERY,Brooklyn,623 VANDERBILT AVENUE,-73.968486,40.678674
LA PARADA RESTAURANT,Brooklyn,855 4 AVENUE,-74.001741,40.656874
FIASCO,Bronx,2376 ARTHUR AVENUE,-73.887979,40.85505
AMERICAN BRASS,Queens,2-01 50 AVENUE,-73.958535,40.74359
Madison & Vine,Manhattan,Madison Avenue,-73.979416,40.752101
GILDA'S RESTAURANT,Queens,91-15 31 AVENUE,-73.877436,40.760146
THE BARN COFFEE SHOP,Queens,2608 HOYT AVE S,-73.920629,40.772445
APPETHAIZE,Manhattan,75 BAXTER STREET,-74.000047,40.716328
TABARE RESTAURANT,Brooklyn,1006 FLUSHING AVENUE,-73.930972,40.703835
QINGDAO,Queens,4046 MAIN ST,-73.829611,40.758477
THE DUPLEX,Manhattan,61 CHRISTOPHER STREET,-74.002353,40.733697
UPRIGHT COFFEE,Brooklyn,860 MANHATTAN AVENUE,-73.953828,40.729233
WYNWOOD,Staten Island,24 NAVY PIER COURT,-74.074318,40.62882
SUBWAY,Brooklyn,525 5 AVENUE,-73.988566,40.666444
BERGDORF GOODMAN,Manhattan,745 5 AVENUE,-73.973695,40.763326
Levante,Queens,Jackson Avenue,-73.941588,40.747411
GOLD STAR BEER COUNTER,Brooklyn,340 STERLING PLACE,-73.966865,40.675347
VILLA TAPIA RESTAURANT,Bronx,245 BROOK AVENUE,-73.91903,40.807892
VILLA TAPIA RESTAURANT,Bronx,245 BROOK AVENUE,-73.91903,40.807892
MARKET TABLE,Manhattan,54 CARMINE STREET,-74.003666,40.729939
PIO PIO,Manhattan,702 AMSTERDAM AVENUE,-73.971289,40.792807
AREITO LOUNGE AND GRILL,Bronx,2510 VALENTINE AVENUE,-73.89554,40.862698
SOUTH OF THE CLOUDS,Manhattan,16 WEST    8 STREET,-73.997074,40.732549
NUM PANG KITCHEN,Manhattan,1407 BROADWAY,-73.987151,40.753439
LA JACARANDA,Manhattan,354 BOWERY,-73.991713,40.726659
OKEEFES,Brooklyn,62 COURT STREET,-73.991241,40.692028
Senza Gluten,Manhattan,Sullivan,-74.000191,40.729099
HARLEM BURGER CO.,Manhattan,2190 FREDERICK DOUGLASS BOULEVARD,-73.954335,40.805817
BOQUERIA,Manhattan,53 WEST   19 STREET,-73.993046,40.739801
THE AINSWORTH,Manhattan,64 3 AVENUE,-73.988688,40.731237
FU MUN LOU,Brooklyn,5405 8 AVENUE,-74.006136,40.638772
ALL IN,Queens,3574 159TH ST,-73.806162,40.765258
SALLY'S SOUTHERN,Staten Island,427 FOREST AVENUE,-74.103542,40.630831
HOME SWEET HOME/ FIG 19,Manhattan,131 CHRYSTIE STREET,-73.993218,40.719369
DEACON BRODIE'S,Manhattan,370 WEST   46 STREET,-73.989774,40.760565
SUGARFISH BY SUSHI NOZAWA,Manhattan,202 SPRING STREET,-74.00346,40.725281
MAMAN,Manhattan,211 WEST BROADWAY,-74.006522,40.718941
Love and Dough,Brooklyn,Jay Street,-73.986681,40.702763
BLVD BISTRO,Manhattan,2149 FREDERICK DOUGLASS BOULEVARD,-73.955484,40.80428
THAI DIVA CUISINE,Queens,4553 46TH ST,-73.918923,40.742004
GOLDEN CITY SEAFOOD RESTAURANT,Brooklyn,6418 20 AVENUE,-73.985416,40.616963
MINNOWS,Brooklyn,167 NASSAU AVENUE,-73.946474,40.725209
MYTHOS RESTAURANT,Queens,196-29 NORTHERN BOULEVARD,-73.784923,40.757905
KING'S STREET COFFEE,Manhattan,121 WEST   30 STREET,-73.990443,40.747634
PRINTERS ALLEY,Manhattan,215 WEST   40 STREET,-73.988594,40.755056
VINATERIA,Manhattan,2211 FREDERICK DOUGLAS BOULEVARD,-73.953825,40.806549
BREADS BAKERY,Manhattan,122 GRAND STREET,-74.000444,40.720739
CAFE DES AFFICHEF,Manhattan,119 WEST   23 STREET,-73.993591,40.743248
Ho'Brah,Brooklyn,3rd Ave,-74.031153,40.623259
RAMEN DANBO,Manhattan,48 CARMINE STREET,-74.003482,40.729997
G &amp; L BAR &amp; RESTAURANT,Queens,10636 SUTPHIN BLVD,-73.801986,40.694447
The Royal Palms Shuffleboard Club,Brooklyn,514 UNION STREET,-73.986898,40.678902
ROW HOUSE,Manhattan,2128 FREDERICK DOUGLASS BOULEVARD,-73.955922,40.803649
KOKO WINGS,Manhattan,192 1 AVENUE,-73.983688,40.729779
HARLEM TAVERN,Manhattan,2153 8 AVENUE,-73.955304,40.804524
LUCILLE'S COFFEE AND COCKTAILS,Manhattan,26 MACOMBS PLACE,-73.938794,40.826162
MELBA'S,Manhattan,300 WEST  114 STREET,-73.956544,40.803202
PIZZA BY LUCILLE'S,Manhattan,26C MACOMBS PLACE,-73.938794,40.826162
LA BRUSCHETTA RESTAURANT,Brooklyn,256 7 AVENUE,-73.979687,40.669179
Wattli Bar & Kitchen,Brooklyn,Newkirk Ave,-73.963192,40.635604
STEINWAY MUNCHIES,Queens,2535 STEINWAY ST,-73.912,40.767558
KAM HING CAFE,Manhattan,118 BAXTER STREET,-73.999095,40.717914
PULIA,Brooklyn,548 4 AVENUE,-73.99167,40.666831
VIA QUADRONNO,Manhattan,25 EAST   73 STREET,-73.965449,40.772689
MR.BUN,Brooklyn,2048 86 STREET,-73.997126,40.603918
MAESTRO PASTA,Manhattan,45 JOHN STREET,-74.008,40.709241
MCCAFFREY AND BURKE,Queens,28-54 31 STREET,-73.920877,40.767532
CHICK-FIL-A,Manhattan,1536 3 AVENUE,-73.953808,40.779086
388 CAFE &amp; DELI,Manhattan,13 ELDRIDGE STREET,-73.993716,40.714772
CAFFE EGIDIO,Bronx,622 EAST  187 STREET,-73.886743,40.855128
Gran Morsi,Manhattan,Warren Street,-74.007719,40.714058
RONG CITY FISH BALL,Manhattan,19 ELDRIDGE STREET,-73.993633,40.714931
JOONG KOOG JIP,Queens,20316 NORTHERN BLVD,-73.77947,40.757552
SMOKE BBQ PIT,Queens,129-21 MERRICK BOULEVARD,-73.763723,40.680738
Nonnas1977,Queens,3926 BELL BLVD,-73.771716,40.764964
ANTOJITOS DELI FOOD,Brooklyn,1936 86 STREET,-73.999546,40.60537
OMEN JAPANESE CUISINE,Manhattan,113 THOMPSON STREET,-74.001851,40.72583
Q44 BAR &amp; GRILL,Bronx,1161 CASTLE HILL AVENUE,-73.850908,40.831318
JOE,Manhattan,9 EAST   13 STREET,-73.993512,40.735066
PIZZA BOY I,Queens,74-04 37 AVENUE,-73.891583,40.748972
232 Bleecker,Manhattan,bleecker st,-74.002432,40.730238
UMAMI SUSHI,Manhattan,50 GREENWICH AVENUE,-74.000563,40.735679
UMAMI SUSHI,Manhattan,50 GREENWICH AVENUE,-74.000563,40.735679
LE PAIN QUOTIDIEN,Manhattan,708 3 AVENUE,-73.973324,40.752328
LE PAIN QUOTIDIEN,Manhattan,395 SOUTH END AVENUE,-74.01586,40.711414
LE PAIN QUOTIDIEN,Manhattan,10 5 AVENUE,-73.996244,40.732415
CAFE EUROASIA,Brooklyn,602 BRIGHTON BEACH AVENUE,-73.961294,40.577633
NORTHERN WANGMANDOO DUMPLING,Queens,14944 NORTHERN BLVD,-73.815847,40.765298
UMAMI SUSHI,Manhattan,50 GREENWICH AVENUE,-74.000563,40.735679
THE PANDERING PIG,Manhattan,209 PINEHURST AVENUE,-73.938053,40.854553
NICK'S PIZZA,Queens,10826 ASCAN AVENUE,-73.840772,40.718013
Pizza Brook,Brooklyn,1215 SURF AVENUE,-73.98014,40.575552
MAX SOHA,Manhattan,1274 AMSTERDAM AVENUE,-73.957929,40.811118
MAX  CAFFE,Manhattan,1262 AMSTERDAM AVENUE,-73.958171,40.810783
COMPLETE BODY,Manhattan,10 HANOVER SQUARE,-74.00923,40.704328
MILK BAR NOLITA,Manhattan,246 MOTT STREET,-73.994758,40.723354
THE HAROLD,Manhattan,1271 BROADWAY,-73.988465,40.748296
GUYERS,Manhattan,286 COLUMBUS AVENUE,-73.978112,40.778363
RADIO STAR,Manhattan,3 WEST   35 STREET,-73.984585,40.749324
OASIS CAFE,Brooklyn,2689 CONEY ISLAND AVENUE,-73.960628,40.59106
THE MARK RESTAURANT,Manhattan,25 EAST   77 STREET,-73.963736,40.775285
CITROEN,Brooklyn,Manhattan ave,-73.954436,40.731193
Serafina Fabulous Pizza,Manhattan,Madison Avenue,-73.962367,40.776004
KISSAKI OMAKASE,Manhattan,319 BOWERY,-73.992128,40.725435
BABE&amp;AL / IDEAL SUPERMARKET,Brooklyn,2036 BEDFORD AVENUE,-73.956291,40.654856
Not Today Maybe Tomorrow,Brooklyn,749 METROPOLITAN AVENUE,-73.94399,40.71458
ANDREWS COFFEE SHOP,Manhattan,463 7 AVENUE,-73.990057,40.751749
FRESCO,Manhattan,34 EAST   52 STREET,-73.974325,40.758954
BLACK FLAMINGO,Brooklyn,168 BORINQUEN PLACE,-73.953895,40.710676
VANESSA DUMPLINGS,Manhattan,118A ELDRIDGE STREET,-73.99189,40.718279
THE GUTTER LES,Manhattan,242 BROOME STREET,-73.989279,40.717845
DONT TELL MAMA,Manhattan,343 WEST   46 STREET,-73.989196,40.76034
OLD MAN HUSTLE,Manhattan,39 ESSEX STREET,-73.989467,40.716135
PHO PLUS,Queens,13351 37TH AVE,-73.83328,40.760757
NEW YORK BURGER CO.,Manhattan,470 WEST   23 STREET,-74.003176,40.747264
