restaurant_name,borough,street,longitude,latitude
Mallys'DELI Grocery CORP,Brooklyn,Knickerbocker,-73.92663,40.703528
Upi Jaya,Queens,Woodside Ave,-73.888712,40.74342
House Of Flava',Bronx,E 233rd Street,-73.850816,40.891331
Mansion,Queens,Broadway,-73.914028,40.756644
Mansion,Queens,Broadway,-73.914028,40.756644
GEO SI GI,Queens,NORTHERN BLVD,-73.812144,40.764897
Lima 33,Queens,Northern Blvd,-73.734724,40.771563
Kazunori the Original Handroll Bar,Manhattan,W. 28th St.,-73.988383,40.74515
Claret Wine Bar,Queens,Skillman Avenue,-73.917863,40.74654
SUBWAY,Brooklyn,2nd avenue,-74.019358,40.646741
"Kushi Izakaya Restaurant, Inc",Brooklyn,86th Street,-73.999582,40.605392
MrChow,Manhattan,East 57th Street,-73.964243,40.758855
Gt Kingston Diner,Queens,Liberty Ave,-73.832628,40.684147
Fred's,Manhattan,Amsterdam Avenue,-73.976553,40.785598
Kasumi Sushi & BBQ Restaurant,Brooklyn,86 Street,-74.001008,40.606257
TORTILLERA Y TAQUERIA LENCHITA CORP,Bronx,EAST 183RD STREET,-73.888521,40.852855
TORTILLERIA Y TAQUERIA LENCHITA CORP,Bronx,EAST 183RD STREET,-73.888521,40.852855
ASTROS FOOD CORP,Queens,30th ave,-73.922018,40.767195
GRECA,Manhattan,Washington Street,-74.010268,40.723994
Shanghai Red,Bronx,Westchester Ave,-73.842499,40.840252
Golden Imperial Palace,Brooklyn,62nd Street,-74.014542,40.636638
Chef Guo,Queens,Broadway,-73.879413,40.740679
Loving Hut,Brooklyn,Bushwick Avenue,-73.940977,40.712511
Kampai Hibachi LLC,Queens,Union Turnpike,-73.783925,40.728317
LAS TIAS BAKERY CAFE,Queens,METROPOLITAN AVENUE,-73.878205,40.712849
Naidre's Cafe,Brooklyn,7 avenue,-73.982914,40.665312
ciccios,Brooklyn,ave u,-73.976317,40.596648
sichuan hotpot cuisine,Manhattan,pell street,-73.998261,40.714879
U-gu,Brooklyn,Myrtle ave,-73.962767,40.69379
Petite Boucherie,Manhattan,Christopher Street,-73.999856,40.734034
Sik Gaek,Queens,Roosevelt Ave.,-73.915626,40.743215
Osteria Laura NYC,Manhattan,Adam Clayton Powell Jr. Blvd,-73.953243,40.802254
Laduree,Manhattan,Madison Ave,-73.966132,40.770845
Sweetgreen,Manhattan,Bowery,-73.991734,40.726535
THE BAGEL MARKET,Brooklyn,7th AVE,-73.975724,40.674097
Carmine's,Manhattan,West 44th st,-73.98619,40.757405
Quality Bistro,Manhattan,West 55th Street,-73.979001,40.763379
Smith & Wollensky,Manhattan,Third Avenue,-73.971106,40.755327
Smith & Wollensky,Manhattan,Third Avenue,-73.971106,40.755327
If-Cha 520 Dessert,Queens,37th Ave.,-73.832872,40.760911
Hair Of The Dog,Manhattan,Orchard Street,-73.988636,40.721224
Quality Meats,Manhattan,West 58th Street,-73.975528,40.76452
Park Avenue,Manhattan,Park Avenue South,-73.985089,40.741955
Kappo Masa,Manhattan,Madison Avenue,-73.963447,40.774522
PARAISO BAR & LOUNGE INC,Queens,JAMAICA AVENUE,-73.775608,40.709236
Poke Zest,Brooklyn,manhattan ave,-73.950852,40.723857
Peking Duck House,Manhattan,236 East 53rd St,-73.968489,40.757314
Viand Cafe,Manhattan,Broadway,-73.981379,40.780737
Rockmeisha,Manhattan,Barrow street,-74.002522,40.732689
Taqueria La Nortena,Brooklyn,Manhattan Ave,-73.951338,40.724755
fresh&co,Manhattan,broadway,-73.987599,40.751704
Pado,Manhattan,2nd Ave,-73.985679,40.731352
Taishan Tofu pot,Queens,37 avenue,-73.832872,40.760911
THE DOLAR SHOP,Queens,37AVE,-73.832872,40.760911
TROPILYZ B RESTAURANT INC,Bronx,GRAND CONCOURSE,-73.897617,40.861553
El Buen Sabor Deli Corp,Queens,163rd  Street,-73.798044,40.706657
Brazen Fox Kitchen & Craft Beer,Manhattan,3rd Ave,-73.987617,40.732711
Park Asia,Brooklyn,66th Street,-74.012837,40.631821
Modern Bread & Bagel / Arba,Manhattan,Columbus Ave,-73.973784,40.784299
sergimmo,Queens,14th ave,-73.812845,40.789074
sergimmo,Manhattan,Avenue of America,-73.998196,40.735484
Red Rooster Harlem,Manhattan,Lenox Avenue,-73.945187,40.808165
Supper Restaurant,Manhattan,East 2nd Street,-73.98518,40.722774
Fish and Beef,Brooklyn,7th Avenue,-74.007217,40.641209
Ako Sushi,Brooklyn,Bedford Ave,-73.958555,40.717048
Little Canal,Manhattan,Canal Street,-73.990412,40.71445
The Ranch Restaurant and Bar of Guyana,Queens,Liberty Ave,-73.812597,40.691448
Bread Brothers Bagel Cafe,Brooklyn,Bushwick Avenue,-73.939942,40.708215
THE BARLOW,Manhattan,PARK PLACE,-73.962629,40.675406
THE BARLOW,Brooklyn,PARK PLACE,-73.962629,40.675406
Grab & Go Cafe,Brooklyn,60th Street,-74.016867,40.63991
Golden Roast Inc,Queens,40th Rd,-73.830119,40.758856
Fresca Tortilla Ditmars Inc,Queens,Ditmars Boulevard,-73.910155,40.775766
Holy Schnitzel,Manhattan,Amsterdam Ave,-73.972311,40.791407
Magazine,Brooklyn,Franklin St,-73.957497,40.72935
J & J Pizzeria Cafe Bar Corp,Queens,82 st,-73.883858,40.747249
TITO'S BBQ STATION,Manhattan,LENOX AVE,-73.944301,40.809378
Mille-feuille Bakery,Brooklyn,Vanderbilt Ave,-73.968916,40.677535
THE WINSLOW,Brooklyn,PARK PLACE,-73.962629,40.675406
The Water Hazard,Manhattan,Chelsea Piers,-74.008496,40.747999
Barnea Bistro,Manhattan,East 46th Street,-73.972085,40.753118
Blossom,Manhattan,University Place,-73.993484,40.733131
The Penny Farthing,Manhattan,3rd Ave,-73.987779,40.732453
The International Bar,Manhattan,First Avenue,-73.986052,40.726529
Walter's,Brooklyn,DeKalb Avenue,-73.973273,40.689618
Love and Dough,Brooklyn,Jay Street,-73.986681,40.702763
Love and Dough,Brooklyn,Jay Street,-73.986681,40.702763
gelateria gentile,Brooklyn,wythe avenue,-73.963934,40.716243
UOTORA,Brooklyn,BERGEN ST.,-73.950703,40.676145
Royal india palace and restaurant inc.,Queens,Atlantic avenue,-73.828684,40.693869
GEMELLI,Brooklyn,STARR STREET,-73.920497,40.707742
Salt + Charcoal,Brooklyn,Grand St.,-73.961504,40.714601
Toro Loco,Manhattan,Stone Street,-74.012068,40.704034
Bay Parkway Seafood Palace Inc,Brooklyn,86th Street,-73.994325,40.602252
Dog and Bone,Manhattan,3rd Avenue,-73.982289,40.740028
Ozone Pizza,Queens,Liberty Ave,-73.842638,40.680689
Peasant,Manhattan,Elizabeth Street,-73.994502,40.721793
1 Buen Sabor Inc,Queens,Queens Blvd,-73.919448,40.743251
Casa Nomad,Manhattan,Broadway,-73.988538,40.746264
HALO KITCHEN & LOUNGE,Queens,LIBERTY AVENUE,-73.817537,40.688799
Vista Hermosa Deli Restaurant,Bronx,Evergreen Avenue,-73.881072,40.828499
Cafe Fiorello,Manhattan,Broadway,-73.982151,40.771518
Bowery Beer Garden / Shinka Ramen,Manhattan,Bowery,-73.995476,40.717182
Lovely Day,Manhattan,Elizabeth St,-73.994484,40.721848
LoL Times Square,Manhattan,7th Avenue,-73.98437,40.759543
Ecuapollos Bar restaurant,Brooklyn,Myrtle ave,-73.926817,40.697915
Ming's Caffe,Manhattan,Canal Street,-73.990466,40.714467
Oso,Manhattan,Amsterdam Ave,-73.950107,40.821836
Dinosaur BBQ,Brooklyn,Union St,-73.984,40.677774
P J Horgan's,Queens,Skillman Avenue,-73.915081,40.746223
Beat Mazesoba,Queens,Crocheron Ave,-73.804343,40.762573
Cheburechnaya,Queens,63rd Dr.,-73.86402,40.727518
Zucker's Bagels Flatiron,Manhattan,East 23rd street,-73.987474,40.740646
SPICE UP,Bronx,CROSS BRONX EXPY,-73.859433,40.832647
Barbalu,Manhattan,Front street,-74.002157,40.707506
Annapurna Thakali Kitchen Inc,Queens,Roosevelt Avenue,-73.893181,40.746655
Marco Polo Pizza & Deli,Manhattan,Madison Avenue,-73.956155,40.784485
Dinosaur Barbque,Manhattan,12th ave,-73.960851,40.817797
American Whiskey TriBeCa,Manhattan,W Broadway,-74.006522,40.718941
Medusa,Brooklyn,5th ave,-73.978967,40.678602
THE IZAKAYA NYC on East 4th,Manhattan,East 4th street,-73.983523,40.723716
Kame,Manhattan,8th AVE,-73.996864,40.747511
Oscar's place,Manhattan,Hudson st,-74.006589,40.731833
Home Sweet Harlem,Manhattan,Amsterdam Avenue,-73.952002,40.81924
Bogota Latin Bistro,Brooklyn,5th avenue,-73.97923,40.678212
338 E. 6TH REST. INC.,Manhattan,E 6th St,-73.987542,40.726971
Il Brigante Restaurant,Manhattan,Front Street,-74.002532,40.707333
NEW ISTANBUL GRILL,Manhattan,West 14th Street,-74.003414,40.740119
About Coffee,Manhattan,SULLIVAN STREET,-74.003889,40.724625
Congee Village Restaurant & Bar of Flushing Inc.,Queens,37th Ave,-73.832872,40.760911
Bronx Ice Co,Brooklyn,Manhattan ave,-73.954979,40.734646
Upi Jaya,Queens,Woodside Ave,-73.888712,40.74342
Shukette,Manhattan,Ninth Avenue,-74.000772,40.747234
Bilt Bar,Brooklyn,Vanderbilt Ave,-73.967901,40.680304
Bricolage,Brooklyn,5th Avenue,-73.979479,40.677877
